<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20190829;0;221.5;35886460
SBER;D;20190830;0;224.2;58155090
SBER;D;20190902;0;226.68;38911370
SBER;D;20190903;0;224;44465820
SBER;D;20190904;0;227.1;41551160
SBER;D;20190905;0;230.79;54585230
SBER;D;20190906;0;229.02;37869960
SBER;D;20190909;0;229;22721370
SBER;D;20190910;0;233.3;60365220
SBER;D;20190911;0;234.72;41834400
SBER;D;20190912;0;234.57;38921290
SBER;D;20190913;0;233;23097450
SBER;D;20190916;0;235.32;39411110
SBER;D;20190917;0;235.89;55730800
SBER;D;20190918;0;235.3;25586000
SBER;D;20190919;0;234.98;39418060
SBER;D;20190920;0;232;40550620
SBER;D;20190923;0;229.7;28163380
SBER;D;20190924;0;227.5;43394690
SBER;D;20190925;0;228.09;37893030
SBER;D;20190926;0;229.09;32718120
SBER;D;20190927;0;228.05;18019780
SBER;D;20190930;0;227.71;30218260
SBER;D;20191001;0;226.49;29831350
SBER;D;20191002;0;223.5;42412900
SBER;D;20191003;0;224.08;38355010
SBER;D;20191004;0;222.76;32106750
SBER;D;20191007;0;227.55;40102200
SBER;D;20191008;0;226.03;30959840
SBER;D;20191009;0;227.7;39702090
SBER;D;20191010;0;228.5;31708420
SBER;D;20191011;0;230.31;37412420
SBER;D;20191014;0;228.4;34582240
SBER;D;20191015;0;229.4;30721760
SBER;D;20191016;0;231;39205260
SBER;D;20191017;0;233.5;45971100
SBER;D;20191018;0;235.55;42706040
SBER;D;20191021;0;234.94;28395030
SBER;D;20191022;0;239.77;40288490
SBER;D;20191023;0;239.57;34578200
SBER;D;20191024;0;242.78;40358060
SBER;D;20191025;0;240;49759850
SBER;D;20191028;0;237.03;39033330
SBER;D;20191029;0;240.11;41488880
SBER;D;20191030;0;239.51;43559920
SBER;D;20191031;0;234.89;60238840
SBER;D;20191101;0;236.4;39183190
SBER;D;20191105;0;238.53;43257820
SBER;D;20191106;0;239.02;33383900
SBER;D;20191107;0;242.5;44637570
SBER;D;20191108;0;240.17;30473030
SBER;D;20191111;0;241.5;27111060
SBER;D;20191112;0;239.87;35513320
SBER;D;20191113;0;237.21;31373320
SBER;D;20191114;0;237.5;34316400
SBER;D;20191115;0;240;30652680
SBER;D;20191118;0;237.45;32941310
SBER;D;20191119;0;239.25;29128910
SBER;D;20191120;0;237.78;28091490
SBER;D;20191121;0;237.15;24612470
SBER;D;20191122;0;238.13;33565030
SBER;D;20191125;0;237.98;17536530
SBER;D;20191126;0;235;58327470
SBER;D;20191127;0;234.22;21871060
SBER;D;20191128;0;235.2;18849720
SBER;D;20191129;0;233.98;27230330
SBER;D;20191202;0;233.77;28186930
SBER;D;20191203;0;230.66;26676820
SBER;D;20191204;0;231.59;24285490
SBER;D;20191205;0;231.71;23157550
SBER;D;20191206;0;235.14;33265080
SBER;D;20191209;0;237.04;31683450
SBER;D;20191210;0;237.91;36059810
SBER;D;20191211;0;240.32;44152540
SBER;D;20191212;0;241.05;36011490
SBER;D;20191213;0;241.21;33100880
SBER;D;20191216;0;241.45;25489190
SBER;D;20191217;0;241.6;33821980
SBER;D;20191218;0;246.2;55754300
SBER;D;20191219;0;244;59872840
SBER;D;20191220;0;244.71;32926290
SBER;D;20191223;0;248.8;23950490
SBER;D;20191224;0;248.67;21016800
SBER;D;20191225;0;248.04;7910360
SBER;D;20191226;0;248.24;12979620
SBER;D;20191227;0;252.06;31907600
SBER;D;20191230;0;254.75;43131930
SBER;D;20200103;0;255;35824160
SBER;D;20200106;0;253.9;22327940
SBER;D;20200108;0;259.15;40736030
SBER;D;20200109;0;257.99;38196300
SBER;D;20200110;0;258.19;18841650
SBER;D;20200113;0;262.4;25849900
SBER;D;20200114;0;259.05;31097130
SBER;D;20200115;0;256.31;49328500
SBER;D;20200116;0;257.51;40225420
SBER;D;20200117;0;262.5;44891340
SBER;D;20200120;0;266.28;29749210
SBER;D;20200121;0;268.06;37927820
SBER;D;20200122;0;266.54;44170920
SBER;D;20200123;0;263.73;40484270
SBER;D;20200124;0;265.49;27246250
SBER;D;20200127;0;255.32;56011660
SBER;D;20200128;0;257.7;47921360
SBER;D;20200129;0;259.94;34921040
SBER;D;20200130;0;257.31;31552340
SBER;D;20200131;0;252.2;47800190
SBER;D;20200203;0;253.99;52621110
SBER;D;20200204;0;255.4;49731290
SBER;D;20200205;0;255.2;50719760
SBER;D;20200206;0;252.11;43319020
SBER;D;20200207;0;254.3;50059840
SBER;D;20200210;0;252.26;34935840
SBER;D;20200211;0;254.5;79392360
SBER;D;20200212;0;254.5;52447350
SBER;D;20200213;0;253.89;36654420
SBER;D;20200214;0;251.75;29982140
SBER;D;20200217;0;251.36;26370580
SBER;D;20200218;0;249.2;36259430
SBER;D;20200219;0;249.7;25740870
SBER;D;20200220;0;250.15;30707880
SBER;D;20200221;0;250.8;27682840
SBER;D;20200225;0;245.19;40505070
SBER;D;20200226;0;250.8;67529090
SBER;D;20200227;0;242.88;57887670
SBER;D;20200228;0;233.36;123187610
SBER;D;20200302;0;228.17;101688550
SBER;D;20200303;0;236.63;83491100
SBER;D;20200304;0;235.27;54165550
SBER;D;20200305;0;232.33;56972700
SBER;D;20200306;0;219.99;103932680
SBER;D;20200310;0;201.2;243308680
SBER;D;20200311;0;194.53;137765860
SBER;D;20200312;0;175.91;197162330
SBER;D;20200313;0;198.6;262618120
SBER;D;20200316;0;195.85;173656160
SBER;D;20200317;0;184.01;183602360
SBER;D;20200318;0;174.27;154736970
SBER;D;20200319;0;189.51;187222370
SBER;D;20200320;0;195.69;170124950
SBER;D;20200323;0;183.37;157690770
SBER;D;20200324;0;192.64;104281150
SBER;D;20200325;0;188.08;187724830
SBER;D;20200326;0;188.07;111338470
SBER;D;20200327;0;180.38;114106500
SBER;D;20200330;0;183;93995170
SBER;D;20200331;0;187.21;113605840
SBER;D;20200401;0;184.78;76453050
SBER;D;20200402;0;186.95;125289380
SBER;D;20200403;0;185.64;92726520
SBER;D;20200406;0;190.7;77520920
SBER;D;20200407;0;197.63;136262480
SBER;D;20200408;0;200.29;89695510
SBER;D;20200409;0;203.61;109748080
SBER;D;20200410;0;201.99;28658630
SBER;D;20200413;0;198.26;41196340
SBER;D;20200414;0;197.37;80132500
SBER;D;20200415;0;186.07;97979270
SBER;D;20200416;0;188.5;109069050
SBER;D;20200417;0;191.8;71522530
SBER;D;20200420;0;189.32;62162030
SBER;D;20200421;0;186.05;94053840
SBER;D;20200422;0;190.2;75194080
SBER;D;20200423;0;190.94;62581600
SBER;D;20200424;0;188.91;55252250
SBER;D;20200427;0;188.9;43627150
SBER;D;20200428;0;192.8;78555750
SBER;D;20200429;0;195.8;69766160
SBER;D;20200430;0;197.25;87028430
SBER;D;20200504;0;193.69;56239930
SBER;D;20200505;0;194.75;35239920
SBER;D;20200506;0;195.7;49513900
SBER;D;20200507;0;195.51;57670560
SBER;D;20200508;0;196.02;33775280
SBER;D;20200512;0;191.4;67270320
SBER;D;20200513;0;187.31;63256890
SBER;D;20200514;0;183.81;76532900
SBER;D;20200515;0;183.85;63033850
SBER;D;20200518;0;188.93;77252650
SBER;D;20200519;0;189;105168650
SBER;D;20200520;0;193.98;93311880
SBER;D;20200521;0;192.4;79390610
SBER;D;20200522;0;188.9;56926660
SBER;D;20200525;0;191;23090830
SBER;D;20200526;0;194;79038520
SBER;D;20200527;0;198.51;115900270
SBER;D;20200528;0;205;117073600
SBER;D;20200529;0;200.5;106525280
SBER;D;20200601;0;203.66;65100110
SBER;D;20200602;0;212;116798700
SBER;D;20200603;0;221.5;144505760
SBER;D;20200604;0;213.1;122406780
SBER;D;20200605;0;219.1;88508590
SBER;D;20200608;0;220.3;88612450
SBER;D;20200609;0;217.23;69097350
SBER;D;20200610;0;212.53;91851980
SBER;D;20200611;0;208.35;69726170
SBER;D;20200615;0;207.32;75360850
SBER;D;20200616;0;207.76;66267920
SBER;D;20200617;0;208.14;56455710
SBER;D;20200618;0;203.77;72204680
SBER;D;20200619;0;207;74923730
SBER;D;20200622;0;206.4;58621480
SBER;D;20200623;0;207.3;53213440
SBER;D;20200625;0;206.92;70420930
SBER;D;20200626;0;203.15;46627040
SBER;D;20200629;0;205.8;42613600
SBER;D;20200630;0;203.22;43705610
SBER;D;20200702;0;209.6;76154820
SBER;D;20200703;0;210.95;50602810
SBER;D;20200706;0;214.61;55118170
SBER;D;20200707;0;210.53;44709210
SBER;D;20200708;0;210.97;41999670
SBER;D;20200709;0;209.11;45129130
SBER;D;20200710;0;212.28;50631590
SBER;D;20200713;0;208.39;51159680
SBER;D;20200714;0;209.5;65996740
SBER;D;20200715;0;211.09;49443460
SBER;D;20200716;0;211.35;38986190
SBER;D;20200717;0;210.81;36123640
SBER;D;20200720;0;213.89;44482520
SBER;D;20200721;0;215.73;75241030
SBER;D;20200722;0;216.71;48418830
SBER;D;20200723;0;215.41;43348380
SBER;D;20200724;0;215.97;53375040
SBER;D;20200727;0;216.9;38282820
SBER;D;20200728;0;215.53;24557890
SBER;D;20200729;0;219.18;41332240
SBER;D;20200730;0;218.15;51172130
SBER;D;20200731;0;221.57;59643550
SBER;D;20200803;0;226.72;64491510
SBER;D;20200804;0;227.16;41990440
SBER;D;20200805;0;226.4;54596910
SBER;D;20200806;0;226;30150840
SBER;D;20200807;0;227.28;35603190
SBER;D;20200810;0;225.99;43443970
SBER;D;20200811;0;232.65;81839190
SBER;D;20200812;0;242.4;100956370
SBER;D;20200813;0;241.39;85633070
SBER;D;20200814;0;239.99;44251150
SBER;D;20200817;0;237.8;77010820
SBER;D;20200818;0;236.3;36709210
SBER;D;20200819;0;239.4;38198470
SBER;D;20200820;0;232.48;116907020
SBER;D;20200821;0;231.22;138860290
SBER;D;20200824;0;231.81;44448280
SBER;D;20200825;0;228.08;58959140
SBER;D;20200826;0;227.8;75719340
SBER;D;20200827;0;226.23;51005540
SBER;D;20200828;0;226.3;40700580
SBER;D;20200831;0;226.1;61944640
SBER;D;20200901;0;227.64;37502870
SBER;D;20200902;0;222.57;77783830
SBER;D;20200903;0;218.32;69352330
SBER;D;20200904;0;222.21;70514060
SBER;D;20200907;0;221.32;59227020
SBER;D;20200908;0;217.68;69809370
SBER;D;20200909;0;218;47977600
SBER;D;20200910;0;220.6;71152000
SBER;D;20200911;0;221.07;45633510
SBER;D;20200914;0;227.37;62798500
SBER;D;20200915;0;231.5;61742490
SBER;D;20200916;0;231.06;39547830
SBER;D;20200917;0;231.46;48862560
SBER;D;20200918;0;230.3;54568200
SBER;D;20200921;0;226.25;70253350
SBER;D;20200922;0;229.88;66529120
SBER;D;20200923;0;228.5;71209480
SBER;D;20200924;0;228.17;81830090
SBER;D;20200925;0;228.24;60095930
SBER;D;20200928;0;228.63;64238440
